title,company,location,locationType,type,salary,startDate,description,hiringCriteria,url
HPC Requirements Engineer Intern (Start ASAP),AUMOVIO Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Support requirements engineering for automotive HPC projects, collaborating with cross-functional teams and gaining exposure to industry standards. Your Role Here’s what you will be doing: Help gather and analyze system & software requirements from engineers and stakeholders. Convert ideas into clear requirements and specifications. Support requirements tracking and change management using industry tools (e.g. DOORS, JIRA). Collaborate with software, hardware, and test teams to ensure requirements are correctly implemented. Gain exposure to automotive standards such as functional safety and cybersecurity. About You The company is looking for: Diploma or undergraduate students in Computer/Electrical Engineering, Computer Science, or related fields. Interest in requirements engineering, systems engineering, or automotive software. Basic knowledge of C/C++ or Python is a plus (but not mandatory). Training & Development End-to-end requirements engineering experience in real automotive projects. Understanding of large-scale HPC system design and integration in vehicles. Insight into how requirements link to software design, testing, and validation. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Diploma or higher,https://sg.prosple.com/graduate-employers/aumovio-singapore/jobs-internships/hpc-requirements-engineer-intern
DevOps Engineer (Intern) (Jan 2026),Thales Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jan 2026 - 31 Jan 2026,"Join Thales as a DevOps Intern to develop automated CI/CD pipelines and containerized applications for critical government projects. Your role Here’s what you will be doing: Be part of a project team delivering secure and innovative technology solutions for Homeland Security, Smart Cities, and Critical Infrastructure projects. Work closely with senior DevOps and software engineers to develop and maintain automated build and deployment pipelines (CI/CD). Containerize applications using Docker and assist in deployment to Kubernetes environments. Help package and prepare software releases for different project sites. Learn to automate development workflows, manage environments, and ensure smooth integration between development, testing, and deployment stages. Support IVVQ (Integration, Verification, Validation & Qualification) and site deployment activities by assisting in environment setup, script updates, and troubleshooting. Gain hands-on experience with DevOps tools such as GitLab CI, Jenkins, or Ansible, containerization and orchestration using Docker and Kubernetes, and software lifecycle management in a government project setting. About you The company is looking for: Basic understanding of software development (Java / Spring Boot / Angular preferred). Familiarity with or eagerness to learn DevOps tools, container technologies, and CI/CD pipelines. Exposure to Linux, shell scripting, or cloud computing concepts is an advantage. Quick learner with strong curiosity about automation, infrastructure, and deployment technologies. Eager to learn and explore new technologies. Good team player with effective communication and collaboration skills. Passionate about building reliable and secure systems. Commitment to full-time work for ideally 6 months (minimum 5 months) starting January 2026. Training & development Opportunity to learn from senior DevOps and software engineers. Hands-on experience with industry-standard DevOps tools and practices in a real government project environment. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics,https://sg.prosple.com/graduate-employers/thales-singapore/jobs-internships/devops-engineer-intern
Product Development Test Engineering Intern (Jan 2026),Qualcomm Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jan 2026 - 31 Jan 2026,"Internship opportunity at Qualcomm focusing on product and test development engineering for 5G and chipset technologies. Your Role Here’s what you will be doing: Developing test solutions for Qualcomm’s latest 5G wireless, Compute, IoT, and Automotive chipsets on Automated Test Equipment (ATE). Performing chip characterization and production test. Debugging test solutions using ATE software tools and bench equipment. Collecting and analyzing test data using various software tools. Developing software scripts to improve engineering efficiencies. Working closely with design engineering teams at Qualcomm's Test Center of Excellence. About You The company is looking for: Basic understanding of semiconductor physics and electronics. Programming skills in C++, Perl, JAVA, and/or VBA preferred. Basic knowledge of using bench equipment, such as oscilloscopes. Enthusiasm and interest in product and test engineering, and wireless communications. Training & Development Training will be provided to all interns. Internships preferably start full-time in January for the upcoming academic semester. How to Apply Applicants should contact Qualcomm Careers for more information. Qualcomm is an equal opportunity employer committed to providing reasonable accommodations for individuals with disabilities during the application and hiring process. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics,https://sg.prosple.com/graduate-employers/qualcomm-singapore/jobs-internships/product-development-test-engineering-intern-1
Digital Transformation Intern (Start ASAP),GE Aerospace Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Drive innovation by automating and digitizing certification workflows at GE Aerospace’s leading aerospace facility. Your Role Key responsibilities include: Collaborate with the training team to understand current certification workflow procedures. Contribute to digitizing certification workflows using Covalent software. Conduct research and gather data to identify areas for process improvement. Participate in testing and quality assurance to ensure solution effectiveness. Assist in developing documentation and training materials for end-users. Work with cross-functional teams to integrate Covalent into existing systems and processes. Support training activities such as workshops, troubleshooting, and user guidance. Potential involvement in gamification for the onboarding program. About You The company is looking for: A degree in business or an engineering-related field. Experience in process improvement and workflow digitization. Familiarity with software tools and strong technical aptitude. Excellent communication skills for working with cross-functional teams and creating documentation. Adaptability and a proactive approach to support various training activities and system integration. Training & Development Receive hands-on training with Covalent software and collaborate closely with operation shops to enhance skills in digital transformation and workflow automation. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/ge-aerospace-singapore/jobs-internships/digital-transformation-intern-2
R&D Mechanical Engineer - College Intern (May 2026),HP Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 May 2026 - 31 May 2026,"Join HP as a College Intern – R&D Mechanical Engineer to contribute to printer product development using CAD and AI-driven design processes. Your role Key responsibilities include: Collaborate with the R&D team on printer product development. Document design rules across various product design areas. Use CAD software to design mechanical parts for printers. Utilize simulation and Artificial Intelligence software to assess design robustness. Participate in the design process from design intent to prototype creation. Establish optimized machine settings and test specifications to maximize yield and reduce cycle time. Develop loss functions with statistical tests to validate test specifications and filter defects. About you The company is looking for: Currently pursuing a degree in Mechanical Engineering. Availability for a full-time internship from May 2026 for 5-6 months. Fundamental knowledge of mechanical product design. Mechanical drawing skills using CAD software are an added advantage. Passion for hands-on projects. Compensation & benefits Full-time internship schedule with no shift premium (Singapore). Equal employment opportunity employer with commitment to diversity and inclusion. Training & development HP commits to human capital development and progressive workplace practices in Singapore. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/hp-singapore/jobs-internships/rd-mechanical-engineer-college-intern
Electronic/Electrical - College Intern (May 2026),HP Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 May 2026 - 31 May 2026,"Gain hands-on experience in hardware testing and collaborate with R&D on test board design at HP. Your Role Key responsibilities include: Gain hands-on experience in hardware testing processes. Collaborate closely with the R&D team to design and develop test boards aligned with product requirements. Participate in EMC issue investigation troubleshooting and use electromagnetic (EM) software to address EM-related challenges. Develop effective test scripts to support an automated testing environment. About You The company is looking for: Electrical or Electronics Engineering undergraduate or relevant education background. Availability for a 5-6 months full-time internship starting around May 2026. Foundational experience with CAD software for schematic capture. Working knowledge of programming and relevant practical skills. Capacity to work independently with self-motivation and collaboratively within a team. Understanding of core electronic principles. Demonstrated interest or proficiency in one or more of the following areas: Electronics Circuit & System Design PCB design and Fabrication of Test board Troubleshooting EMC issues with EM software tools Test automation development using scripting languages such as Python or Visual Basic Experience in AI/ChatGPT application development for engineering problem analysis This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/hp-singapore/jobs-internships/electronicelectrical-college-intern
Mechanical Intern (Start ASAP),AECOM Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Assist design engineers in mechanical engineering services design for building and infrastructure projects at AECOM Singapore. Your Role Here’s what you will be doing: Assist design engineers in mechanical engineering services design for ACMV, Fire Protection, Water, Pumping, Sanitary, and Gas Services. Work on building engineering projects or infrastructure projects such as railway stations, depots, and supporting facilities. Carry out design using Building Information Management system (BIM); design and BIM training will be provided. Utilize computer skills including Microsoft Office, AutoCAD, and other engineering software as applicable. About You The company is looking for: Currently pursuing a Degree in Mechanical Engineering. Capable of using spreadsheet, word processing, and standard office software. Knowledge and exposure to AutoCAD and engineering software are advantageous. Compensation & Benefits Medical, dental, and vision benefits. Life, AD&D, and disability benefits. Paid time off and leaves of absence. Voluntary benefits and perks. Flexible work options and well-being resources. Employee assistance program and business travel insurance. Service recognition awards. Retirement savings plan and employee stock purchase plan. Training & Development Access to award-winning training and development programs designed to expand technical expertise and leadership skills. Career Progression Opportunity to be part of a global team supporting growth and career ambitions, working on groundbreaking projects locally and globally. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/aecom-singapore/jobs-internships/mechanical-intern
Electronic/Electrical - College Intern (May 2026),HP Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 May 2026 - 31 May 2026,"Gain hands-on experience in hardware testing and collaborate with R&D on test board design at HP. Your Role Here’s what you will be doing: Gain hands-on experience in hardware testing processes. Collaborate closely with the R&D team to design and develop test boards that align with specific product requirements. Participate in EMC issue investigation troubleshooting and utilize electromagnetic (EM) software to address EM-related challenges. Develop effective test scripts to support an automated testing environment. About You The company is looking for: Electrical or Electronics Engineering undergraduate or relevant education background. Availability for a 5-6 months full-time internship starting around May 2026. Foundational experience with CAD software for schematic capture. Working knowledge of programming and relevant practical skills. Capacity to work independently with self-motivation, as well as collaboratively within a team. Understanding of core electronic principles. Demonstrated interest or proficiency in one or more of the following areas: Electronics Circuit & System Design PCB design and Fabrication of Test board Troubleshooting EMC issues with EM software tools Test automation development using scripting languages such as Python or Visual Basic Experience in AI/ChatGPT application development for engineering problem analysis Compensation & Benefits Full-time internship position HP’s commitment to sustainable impact and progressive workplace practices in Singapore Equal Opportunity Employer with inclusive policies This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/hp-singapore/jobs-internships/electronicelectrical-college-intern-0
Diagnostic Design Engineering Intern (May 2026),AMD Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 4 May 2026,"Internship opportunity at AMD to design and verify diagnostics tests for next-generation processors in a dynamic, innovative environment. Your role Here’s what you will be doing: Design, implement, and verify diagnostics tests used in processor qualification and production test suites for internal and external customers Debug and solve hardware and software problems Analyze fallout boards to improve test time, effectiveness, and efficiency Investigate and debug diagnostics source code using advanced C++ programming at a system level in a Linux environment Assist in ASIC bring-up and support activities for data center/AI, gaming graphics, and embedded hardware products Build and debug automation tools/scripts to support testing and diagnostics About you The company is looking for: Current enrollment in a Singapore-based university pursuing a Bachelor’s degree in Electrical Engineering, Computer Engineering, or a related field Good knowledge and experience in software programming (C++, scripting) Familiarity with PC/system, GPU, and CPU hardware architectures Experience with software development and debugging in Linux Experience with source control systems such as GIT or SVN Training & development Opportunity to collaborate with AMD leaders and receive one-on-one mentorship Participation in networking events and hands-on experience to develop career skills How to apply Submit your application indicating interest in AMD intern positions Ensure you can provide a placement/support letter from your school covering the entire internship period A recruiter will contact you if your experience aligns with available intern opportunities This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/amd-singapore/jobs-internships/diagnostic-design-engineering-intern
WRM UAT Intern (Start ASAP),UOB Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Support User Acceptance Testing for Microsoft Dynamics 365 CRM implementation at United Overseas Bank, gaining hands-on experience in enterprise software testing. Your Role Here’s what you will be doing: Execute UAT test cases and document results Identify and report bugs or inconsistencies Collaborate with business users and developers to validate CRM workflows Assist in preparing test data and scenarios Support post-testing documentation and feedback sessions About You The company is looking for: Strong attention to detail and ability to follow test scripts precisely Ability to document issues clearly and concisely Familiarity with Microsoft Office tools (Excel, Word, Outlook) Basic understanding of CRM systems or enterprise software Ability to work independently and in teams Strong communication skills (written and verbal) Willingness to learn and adapt quickly Experience with manual testing or QA tools is a plus How to Apply If you require any assistance or accommodations for the recruitment process, please inform the employer when submitting your application. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/uob-singapore/jobs-internships/wrm-uat-intern-0
Technology Development -  University Intern (Jun 2026),GlobalFoundries Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jun 2026 - 30 Jun 2026,"Join GlobalFoundries as an intern to develop software summarizing BJT device tests and analyze parameters for semiconductor device performance. Your Role Here’s what you will be doing: Write a software program to summarize BJT device DOE structures, DC/AC & SOA test results. Determine which BJT device DOE parameters can lead to the highest Ft, Fmax, and SOA. Perform all activities safely and responsibly, supporting Environmental, Health, Safety & Security requirements and programs. About You The company is looking for: Active pursuit of a Bachelor’s Degree in Electrical/Electronic Engineering or related field through an accredited degree program during the internship. Preferred specialization in Microelectronics. Availability for a 20 to 24-week credit-bearing internship starting June 2026 or later. Training & Development One-on-one mentorship. Work assignments prioritizing growth and potential. Professional development opportunities. Networking with executives. How to Apply Please indicate your internship period clearly in your CV, Resume, or Cover Letter. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/globalfoundries-singapore/jobs-internships/technology-development-university-intern
